War,Start Date,End Date,Participant,Location,Casualties,Cause,Effect
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Iberians,Hispania,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Aetolian League,Hispania,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Quintus Fabius Maximus Verrucosus,Hispania,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Gaius Terentius Varro,Hispania,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Lucius Aemilius Paullus,Hispania,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Maesulians,Hispania,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Masaesyli,Hispania,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Ancient Rome,Hispania,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Ancient Carthage,Hispania,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Publius Cornelius Scipio,Hispania,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Scipio Africanus,Roman Italy,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Syracuse,Roman Italy,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Pergamon,Roman Italy,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Hannibal,Roman Italy,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Macedonia,Roman Italy,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Kingdom of Numidia,Roman Italy,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Iberians,Roman Italy,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Aetolian League,Roman Italy,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Quintus Fabius Maximus Verrucosus,Roman Italy,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Gaius Terentius Varro,Roman Italy,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Lucius Aemilius Paullus,Roman Italy,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Maesulians,Roman Italy,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Masaesyli,Roman Italy,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Ancient Rome,Roman Italy,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Ancient Carthage,Roman Italy,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Publius Cornelius Scipio,Roman Italy,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Scipio Africanus,Empúries,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Syracuse,Empúries,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Pergamon,Empúries,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Hannibal,Empúries,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Macedonia,Empúries,,,
Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,Kingdom of Numidia,Empúries,,,
